iter	Passed	Remaining
443	1201	1504
444	1203	1501
445	1206	1498
446	1209	1495
447	1211	1492
448	1214	1490
449	1216	1487
450	1219	1484
451	1221	1480
452	1223	1477
453	1226	1474
454	1228	1471
455	1231	1469
456	1234	1466
457	1236	1463
458	1238	1460
459	1241	1456
460	1243	1453
461	1246	1451
462	1248	1448
463	1250	1445
464	1253	1441
465	1255	1438
466	1258	1436
467	1260	1433
468	1263	1430
469	1265	1427
470	1267	1424
471	1270	1420
472	1272	1417
473	1275	1414
474	1278	1412
475	1280	1409
476	1282	1406
477	1285	1403
478	1287	1400
479	1290	1397
480	1292	1395
481	1295	1391
482	1297	1389
483	1300	1385
484	1302	1382
485	1304	1379
486	1307	1377
487	1309	1374
488	1312	1371
489	1314	1368
490	1317	1365
491	1319	1362
492	1322	1360
493	1324	1357
494	1327	1353
495	1329	1350
496	1332	1348
497	1334	1344
498	1336	1342
499	1339	1339
500	1341	1336
501	1343	1333
502	1346	1330
503	1348	1327
504	1350	1324
505	1353	1321
506	1355	1318
507	1358	1315
508	1360	1312
509	1362	1309
510	1365	1306
511	1367	1303
512	1370	1300
513	1372	1297
514	1374	1294
515	1377	1291
516	1379	1288
517	1382	1286
518	1384	1283
519	1387	1280
520	1389	1277
521	1391	1274
522	1394	1271
523	1396	1268
524	1399	1265
525	1401	1262
526	1404	1260
527	1406	1257
528	1409	1254
529	1412	1252
530	1415	1250
531	1417	1246
532	1420	1244
533	1422	1241
534	1425	1238
535	1427	1235
536	1430	1233
537	1433	1231
538	1436	1228
539	1438	1225
540	1440	1222
541	1443	1220
542	1446	1217
543	1449	1214
544	1451	1211
545	1453	1208
546	1456	1205
547	1458	1203
548	1462	1201
549	1465	1198
550	1467	1196
551	1470	1193
552	1472	1190
553	1476	1188
554	1478	1185
555	1481	1182
556	1483	1180
557	1486	1177
558	1488	1174
559	1491	1171
560	1493	1168
561	1496	1166
562	1498	1163
563	1501	1160
564	1503	1157
565	1506	1154
566	1508	1151
567	1510	1148
568	1512	1146
569	1515	1143
570	1517	1140
571	1520	1137
572	1522	1134
573	1525	1131
574	1527	1129
575	1530	1126
576	1533	1124
577	1536	1121
578	1538	1118
579	1540	1115
580	1543	1112
581	1545	1110
582	1548	1107
583	1550	1104
584	1553	1101
585	1555	1099
586	1558	1096
587	1560	1093
588	1562	1090
589	1565	1087
590	1568	1085
591	1570	1082
592	1572	1079
593	1575	1076
594	1577	1073
595	1580	1071
596	1583	1068
597	1585	1065
598	1587	1063
599	1590	1060
600	1592	1057
601	1595	1054
602	1597	1051
603	1600	1049
604	1602	1046
605	1604	1043
606	1607	1040
607	1609	1037
608	1612	1035
609	1614	1032
610	1616	1029
611	1619	1026
612	1622	1024
613	1624	1021
614	1626	1018
615	1629	1015
616	1632	1013
617	1634	1010
618	1637	1007
619	1639	1004
620	1642	1002
621	1644	999
622	1646	996
623	1649	993
624	1651	990
625	1653	988
626	1655	985
627	1658	982
628	1660	979
629	1663	976
630	1665	973
631	1667	971
632	1669	968
633	1672	965
634	1674	962
635	1677	959
636	1679	957
637	1681	954
638	1684	951
639	1686	948
640	1688	945
641	1691	943
642	1693	940
643	1695	937
644	1698	934
645	1700	932
646	1703	929
647	1706	926
648	1708	924
649	1711	921
650	1713	918
651	1715	915
652	1718	913
653	1720	910
654	1723	907
655	1725	904
656	1728	902
657	1730	899
658	1732	896
659	1735	893
660	1737	891
661	1740	888
662	1742	885
663	1744	882
664	1747	880
665	1749	877
666	1752	874
667	1754	872
668	1756	869
669	1759	866
670	1761	863
671	1763	860
672	1766	858
673	1768	855
674	1771	852
675	1774	850
676	1776	847
677	1778	844
678	1781	842
679	1783	839
680	1785	836
681	1788	833
682	1790	830
683	1792	828
